BuId,Rim,TotalCards
852566,1013847,1
852789,1013857,1
852640,1014027,1
852792,1014140,1
852642,1014142,1
852572,1014190,1
852574,1014232,1
852576,1014346,1
852799,1014394,1
852578,1014405,1
852801,1014461,1
852802,1014527,1
852583,1014601,3
852586,1014702,1
852660,1014846,1
852736,1014852,1
852738,1015021,1
852816,1015112,2
852595,1015115,1
852742,1015120,1
852817,1015129,2
852818,101515,2
852668,1015168,1
852744,1015174,1
946548,1015178,1
954558,1015249,1
852600,1015301,2
852822,1015308,1
852601,1015325,1
852673,101536,2
852749,1015376,1
952608,1015595,2
852608,1015602,1
852757,1015641,1
852682,1015646,1
951952,1015709,1
852836,1015881,2
852686,1015891,1
852616,1015930,1
954666,1016062,1
852768,1016103,1
953162,1016129,1
852693,1016140,1
852622,1016142,1
852844,1016179,1
852695,1016189,2
852772,1016222,1
852625,1016227,1
852699,1016288,1
851406,1016359,1
852629,101644,1
852778,101645,1
852853,1016459,1
952260,1016462,1
852630,1016493,1
852857,1016622,1
852707,1016624,1
852859,1016626,1
852932,101669,1
853007,1016703,1
852865,1016773,1
953813,1016785,1
853010,1016799,1
853011,1016883,1
853090,1016948,1
853014,1017073,1
852874,1017308,1
852945,1017321,1
852878,101745,2
853024,1017512,1
853103,1017562,1
852956,1017904,1
853031,101794,1
852957,1017950,1
853032,1017960,2
852889,1018002,1
852890,1018044,1
852961,1018129,1
949214,1018208,1
853039,1018317,1
852965,1018328,1
853117,101840,1
852897,1018515,3
853042,1018525,2
853119,1018528,2
853122,1018715,2
853046,1018804,2
852972,1018819,1
852902,101885,1
852974,1018892,2
853049,1018901,1
853050,1018944,1
852976,1018950,2
958691,1019035,1
852977,1019134,2
853130,1019250,1
853132,1019367,1
852911,1019374,2
853133,1019383,2
852913,1019512,1
853058,1019533,1
852914,1019575,1
853059,1019585,1
853140,1019728,1
852990,1019789,2
852920,1019796,2
852991,1019829,1
853066,1019889,1
853143,1019898,1
853068,1019938,1
853145,1019946,1
852924,1019955,2
853146,1019987,1
852926,1020043,1
853071,1020045,1
852927,1020093,1
959843,1020128,1
853072,1020130,1
852928,1020174,1
853151,1020203,1
853075,1020213,1
853157,1020358,1
853004,1020531,1
853080,102058,1
853305,1020667,1
853232,1020797,1
853308,1020880,2
853238,1021148,1
853389,1021291,1
853170,1021323,1
853171,1021384,1
853242,1021390,1
946316,1021489,1
853399,102164,1
853321,1021644,1
853246,1021676,1
853403,1021839,2
853254,1022064,4
853411,1022116,1
853187,1022136,2
853257,1022150,1
946487,1022288,1
853413,1022332,1
853189,1022368,1
853416,1022508,1
853419,1022713,1
958306,1022761,1
853196,1022884,2
853197,1023034,1
853345,1023135,1
947865,1023195,1
853348,1023233,1
853350,1023322,1
853352,1023398,1
853208,1023454,1
959696,1023489,1
853278,1023504,1
853210,1023558,1
940507,1023584,1
853355,1023650,2
853211,1023652,1
853437,1023683,1
853357,1023762,1
853218,1024080,2
853444,1024216,1
853364,1024293,1
958662,1024409,1
853225,1024538,2
853296,1024662,1
852732,1014669,1
852812,1015000,1
852813,1015035,1
852663,1015036,2
852592,1015055,1
852664,1015091,2
852740,1015098,1
852815,1015099,1
852819,1015179,1
852670,101526,2
852821,1015282,1
852671,1015293,1
852747,1015303,1
852672,101532,1
954352,1015323,1
852748,1015327,4
852675,1015468,1
852826,1015496,1
852676,1015500,2
852606,1015546,1
852753,1015562,1
852607,1015566,1
852679,1015587,1
852610,101564,2
852611,1015669,1
852833,1015686,1
852687,1015921,1
852838,1015955,1
852617,1015958,2
852689,1015979,1
852765,1015987,1
852770,1016184,2
852624,1016194,1
852696,1016210,1
852773,1016249,1
947849,1016319,1
852775,1016332,1
956642,1016355,1
852776,1016370,1
852701,1016378,2
959575,1016385,1
852780,1016537,1
951992,1016557,1
852782,1016599,2
852861,1016658,1
852862,1016693,1
853085,1016705,1
852864,1016752,1
853087,1016761,1
852935,1016771,1
852936,1016839,1
853089,1016904,2
852868,1016956,2
853013,1016992,1
947851,1017001,1
853092,1017077,1
852870,1017170,1
852941,1017184,3
853016,101719,1
853094,1017207,1
852872,1017223,1
853017,1017228,2
853095,1017260,1
852873,1017290,1
853096,1017296,1
853019,1017311,2
852947,1017396,1
952691,1017400,1
852948,1017438,1
853101,1017490,2
852949,1017496,1
850864,1017513,1
852950,1017531,1
853105,1017745,1
852954,1017764,1
958589,1017809,1
853106,1017855,1
852955,1017887,1
852959,1018001,2
956679,1018065,1
959338,1018236,1
853115,1018269,1
853040,1018394,1
852896,1018439,1
953831,1018659,1
952038,1018692,1
852971,1018732,1
946778,1018752,1
852973,101887,1
956736,1019012,1
852906,1019040,1
853128,1019110,1
853052,1019168,2
852979,1019271,1
852909,1019284,1
953973,1019300,1
853054,1019301,2
955109,1019349,1
852982,1019402,1
853057,1019427,1
853135,1019557,2
853061,1019625,1
852917,1019645,1
853062,1019666,1
852988,1019682,1
852992,1019903,2
853073,1020156,1
853000,1020209,1
853002,1020264,1
959565,1020265,1
852931,1020266,1
946774,1020325,1
956695,1020386,1
850669,1020419,2
853156,1020523,1
853159,1020564,1
853378,1020601,1
853304,1020611,1
951483,1020644,1
945401,1020653,1
853231,1020714,1
853386,1021137,1
853313,1021188,1
853314,1021272,1
853241,1021335,1
853245,1021559,2
853400,1021687,1
853322,1021698,1
853177,1021717,1
853179,1021837,1
853181,1021918,1
853182,1021984,1
853328,1022023,1
853185,1022068,1
853255,1022071,1
853414,102241,1
853335,1022419,1
946711,1022571,1
853261,1022586,1
853263,1022708,1
853195,1022729,1
853341,1022779,1
853342,1022930,1
850948,1023074,1
853425,1023128,2
853203,102326,1
853273,1023265,1
853430,1023313,1
853205,1023330,1
853207,102340,1
851638,1023447,1
951982,1023625,1
853282,1023790,2
853440,1023845,1
853359,1023852,1
853363,1024219,1
853292,1024487,1
853369,1024520,1
853294,1024559,1
853370,1024567,1
853228,1024710,1
853297,1024712,1
952787,1024719,1
853229,1024732,2
853459,1025048,1
853685,1025122,1
853538,1025303,1
853690,1025479,2
853543,1025700,2
853621,1025851,1
853476,1025871,1
853623,1026072,1
853700,1026107,1
853552,1026280,1
853557,1026602,2
853455,1024746,2
853299,1024769,1
853458,1024996,2
853610,1025114,1
853687,1025196,1
853614,1025469,1
946505,1025482,1
853470,1025542,1
853541,1025552,2
945684,1025574,1
853471,1025584,1
853542,1025590,1
853617,1025604,2
853693,1025631,2
953892,1025754,1
853695,1025768,1
947866,1025949,1
853699,1026080,1
949604,1026103,1
853550,1026137,1
853483,1026386,1
853554,1026388,1
853705,1026436,2
853560,1026744,1
853635,1026748,2
946621,1026767,1
853490,1026771,1
958304,102704,1
853717,1027042,1
853643,102713,1
853569,1027153,1
853644,1027162,1
853722,1027293,1
955089,1027354,1
853725,1027392,1
950280,1027517,1
853651,1027587,1
853728,1027735,2
853730,1027806,1
853510,1027871,1
853734,1028029,1
853583,1028072,3
853659,1028113,1
853738,1028342,1
853518,1028416,1
853663,1028476,1
959269,1028502,1
853520,1028546,1
853591,1028700,1
853743,1028712,1
956661,1028721,1
853749,1028983,1
853674,1029062,1
853751,1029072,1
853601,1029219,1
853753,1029239,1
853678,1029289,1
853535,1029340,1
853682,1029478,1
853761,1029488,1
853988,1029578,1
853765,1029687,1
853842,1029922,1
853918,1029959,1
853994,1029961,1
853920,1030070,2
955114,1030198,1
853922,1030199,1
854004,1030532,2
854005,1030580,1
853781,1030594,1
853857,1030752,1
949984,1030768,1
854010,1030885,1
853787,1030975,1
853789,1031032,1
853790,1031069,1
854015,1031087,1
853940,1031115,2
853942,1031202,1
853943,1031245,1
853945,1031383,3
853946,1031460,2
853798,1031498,1
853873,1031633,3
853800,1031689,2
853949,1031792,1
853803,1031902,1
952606,1031924,1
947235,1032089,1
853881,1032189,1
853807,1032213,1
951185,1032269,1
854033,1032299,1
853957,1032398,1
958971,1032420,1
853810,1032437,1
854035,1032466,1
853959,1032526,1
854038,1032748,1
853962,1032797,1
854040,1032974,1
854041,1033026,1
853892,1033100,1
853819,1033127,2
854045,1033161,1
854047,1033238,1
853897,1033262,1
854053,1033551,1
853829,1033617,1
854059,1033994,1
854140,1034012,1
853911,1034123,1
954698,1034152,1
854143,1034174,1
854292,1034284,1
950268,1034303,1
854293,1034423,1
950911,1034470,1
854067,1034610,1
854068,1034685,1
854219,1034717,1
854220,1034774,1
947679,1034999,1
854224,1035012,1
854302,1035068,1
854157,103525,1
952043,1035304,1
854085,1035557,1
854165,1035582,1
854236,103561,1
854237,1035680,1
854240,1035826,1
854241,1035834,1
854091,1035836,2
854320,1035886,1
854244,1035954,1
854096,1036063,1
954892,1036066,1
854324,1036112,1
854329,1036295,1
947518,1036318,1
854183,1036357,2
854104,1036404,1
854184,1036409,1
854258,1036540,1
947236,1036639,1
854260,1036643,1
854263,1036710,2
854113,1036711,2
947854,1036807,1
854268,1036877,1
854199,1036990,1
854348,1036996,1
854202,1037071,1
959373,1037076,1
854203,1037079,1
854274,1037080,1
854352,1037114,1
854353,1037178,1
854276,1037182,2
854355,1037255,2
854279,1037295,1
854280,1037319,1
945548,1037544,1
950877,1037703,1
854363,1037791,2
854368,1037910,1
854445,1038120,1
854597,1038237,1
854376,1038246,1
956743,1038266,1
854377,1038300,2
854600,1038379,1
853488,102671,1
853561,1026772,1
853712,1026791,1
853640,1026978,1
959507,102698,1
853716,102699,2
853497,1027111,1
853720,1027167,1
853571,1027235,1
853646,1027257,1
853723,1027327,1
850967,102735,1
853573,1027383,1
853578,1027789,1
853654,1027795,1
853509,1027814,1
853656,1027928,1
853582,1027985,1
853513,1028071,1
959566,1028340,1
853739,1028377,1
853740,1028505,2
853590,1028555,1
853665,1028559,1
853742,1028569,1
853668,1028836,1
853747,102894,2
853596,1028947,1
853750,1029019,1
853531,1029207,2
949603,1029256,1
853533,1029273,1
853534,1029296,1
853758,1029465,1
853760,1029466,1
853607,1029474,1
853836,1029503,2
853987,1029520,1
951248,1029580,1
853914,1029727,1
853841,1029768,1
949777,1029776,2
853768,1029936,1
853917,1029940,1
853995,1030022,1
853847,1030155,1
955530,1030157,2
853923,1030242,2
853777,1030398,2
854002,1030418,1
853778,1030464,1
853927,1030497,1
853780,1030568,2
955211,1030600,1
853783,1030758,2
853932,1030770,1
954503,1030834,1
853859,1030843,1
854012,1030988,1
853863,1031023,1
853865,1031093,1
854016,1031116,1
853941,1031129,1
950141,1031260,1
853944,1031298,1
854022,1031463,1
853953,1032034,2
854029,1032060,1
854031,1032185,1
853808,1032288,2
853812,1032616,1
853960,1032694,2
853963,1032949,2
952453,1032968,1
853893,1033115,1
853820,1033148,1
854049,1033337,1
853825,1033360,1
853900,1033387,1
853901,1033445,1
853975,1033474,2
853976,1033507,1
853903,1033571,1
853904,1033667,1
853831,1033722,1
853834,1033875,1
853909,1034010,1
853983,1034015,2
854060,103403,1
854061,1034115,1
946442,1034156,1
854291,1034216,1
854218,1034661,1
854148,103471,1
854149,1034740,1
854298,1034792,1
854073,103497,2
854155,1035125,1
854226,1035133,1
854076,1035143,1
956681,1035188,1
854227,103523,1
854231,1035410,1
854161,1035451,2
854162,1035490,2
854083,1035507,1
854163,1035512,1
854167,1035757,1
854321,1035928,1
854174,1035973,1
950193,1036252,1
854330,1036326,1
854253,1036332,1
854331,103635,1
854254,1036362,1
854333,1036440,1
854107,1036522,1
854190,1036656,1
854340,1036700,1
854343,1036772,1
854116,1036788,1
854117,1036808,1
854119,1036948,1
854270,1036993,1
854351,1037078,2
854124,1037084,1
854127,1037233,1
854207,103726,1
854209,1037318,1
854210,1037343,1
854359,1037386,1
854211,1037397,1
854282,1037455,2
854132,1037459,1
854364,10379,1
854365,1037934,1
854288,1037947,2
854372,1038069,1
854374,1038160,1
854526,1038334,1
854527,1038444,1
854602,1038558,1
854381,1038617,1
854604,1038726,1
951050,1038992,1
854534,1039137,1
854387,1039238,1
854389,1039348,2
947872,1039380,1
854612,1039403,1
854613,1039507,1
854392,1039559,1
854393,1039693,1
854615,1039760,2
854394,1039868,3
854620,1040249,1
854408,1040944,1
854485,1041373,1
854634,1041374,1
854637,1041504,1
952664,1041505,1
954753,1041891,1
854420,1041948,1
854492,1042027,3
854569,1042059,1
854570,1042129,2
854571,1042170,1
854573,104243,1
854497,1042504,2
854644,1042534,1
854500,1042723,2
854501,1042815,1
854648,1042825,1
854431,1042997,1
854503,1043010,2
854530,1038681,1
854531,1038730,1
854605,1038818,1
854384,1038853,1
854606,1038924,1
854457,1039067,2
854607,1039129,1
854458,1039145,1
854388,1039268,1
854610,1039338,1
947873,1039401,2
854391,1039423,2
854463,103948,2
854464,1039561,2
951208,1039642,1
945951,1039672,1
854541,1039683,1
854465,1039751,1
854542,1039866,1
854544,1040043,1
854546,1040194,1
953518,1040339,1
854471,1040348,1
854621,1040373,1
854400,1040394,1
854401,1040437,2
854473,1040440,1
854551,1040504,1
854407,1040868,1
854629,1040879,1
854480,1040952,1
854558,104108,1
854410,1041095,1
854559,1041116,1
854560,1041151,1
854635,1041408,1
949619,1041412,1
854567,1041583,1
952460,1041789,1
851461,1041792,1
951491,1042356,1
854647,1042730,1
854649,1042968,1
854651,1043051,1
854504,1043074,2
854582,1043204,1
854506,1043229,1
854583,1043276,1
854436,1043287,2
854584,1043321,1
854656,1043344,1
854585,1043345,1
955496,1043431,1
854658,1043575,1
854588,1043822,2
854442,1043907,2
854513,1043943,1
854592,1044242,1
854668,1044277,1
854516,1044284,1
854664,1044348,1
854741,1044462,1
854671,1044564,1
854742,1044588,3
854818,1044609,2
854745,1044954,1
950369,1045160,1
854825,1045167,1
854680,1045220,2
854828,1045291,1
854908,1045549,1
854755,1045575,1
854909,1045716,3
854688,1045899,1
854760,1045921,1
854914,1046019,2
854915,1046163,2
854839,1046190,1
